region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV sales,Cars,FCEV,2018,Vehicles,610
Romania,Historical,EV sales,Cars,BEV,2018,Vehicles,600
Slovenia,Historical,EV sales,Cars,BEV,2018,Vehicles,470
China,Historical,EV sales,Trucks,FCEV,2018,Vehicles,400
EU27,Historical,EV sales,Trucks,BEV,2018,Vehicles,380
Colombia,Historical,EV sales,Cars,PHEV,2018,Vehicles,320
Korea,Historical,EV sales,Vans,BEV,2018,Vehicles,300
Switzerland,Historical,EV sales,Vans,BEV,2018,Vehicles,300
Slovakia,Historical,EV sales,Cars,BEV,2018,Vehicles,290
Czech Republic,Historical,EV sales,Cars,PHEV,2018,Vehicles,280
Germany,Historical,EV sales,Trucks,BEV,2018,Vehicles,280
Japan,Historical,EV sales,Vans,BEV,2018,Vehicles,280
Belgium,Historical,EV sales,Vans,BEV,2018,Vehicles,260
Portugal,Historical,EV sales,Vans,BEV,2018,Vehicles,260
Colombia,Historical,EV sales,Cars,BEV,2018,Vehicles,250
Brazil,Historical,EV sales,Cars,PHEV,2018,Vehicles,230
Denmark,Historical,EV sales,Vans,BEV,2018,Vehicles,220
Greece,Historical,EV sales,Cars,PHEV,2018,Vehicles,210
India,Historical,EV sales,Buses,BEV,2018,Vehicles,210
Costa Rica,Historical,EV sales,Cars,BEV,2018,Vehicles,200
Mexico,Historical,EV sales,Cars,BEV,2018,Vehicles,200
Bulgaria,Historical,EV sales,Cars,BEV,2018,Vehicles,190
Slovenia,Historical,EV sales,Cars,PHEV,2018,Vehicles,190
Turkiye,Historical,EV sales,Cars,BEV,2018,Vehicles,190
Brazil,Historical,EV sales,Cars,BEV,2018,Vehicles,180
EU27,Historical,EV sales,Cars,FCEV,2018,Vehicles,160
United Kingdom,Historical,EV sales,Vans,PHEV,2018,Vehicles,150
Lithuania,Historical,EV sales,Cars,BEV,2018,Vehicles,140
Israel,Historical,EV sales,Cars,BEV,2018,Vehicles,130
Germany,Historical,EV sales,Cars,FCEV,2018,Vehicles,110
Netherlands,Historical,EV sales,Buses,BEV,2018,Vehicles,110
Chile,Historical,EV sales,Cars,BEV,2018,Vehicles,100
France,Historical,EV sales,Buses,BEV,2018,Vehicles,95
EU27,Historical,EV sales,Vans,FCEV,2018,Vehicles,94
France,Historical,EV sales,Vans,FCEV,2018,Vehicles,92
United Kingdom,Historical,EV sales,Buses,BEV,2018,Vehicles,89
Greece,Historical,EV sales,Cars,BEV,2018,Vehicles,88
Estonia,Historical,EV sales,Cars,BEV,2018,Vehicles,85
South Africa,Historical,EV sales,Cars,PHEV,2018,Vehicles,82
Latvia,Historical,EV sales,Cars,BEV,2018,Vehicles,73
Chile,Historical,EV sales,Cars,PHEV,2018,Vehicles,68
South Africa,Historical,EV sales,Cars,BEV,2018,Vehicles,66
United Kingdom,Historical,EV sales,Buses,PHEV,2018,Vehicles,65
Poland,Historical,EV sales,Buses,BEV,2018,Vehicles,63
Italy,Historical,EV sales,Buses,BEV,2018,Vehicles,60
United Arab Emirates,Historical,EV sales,Cars,PHEV,2018,Vehicles,60
United Arab Emirates,Historical,EV sales,Cars,BEV,2018,Vehicles,59
Finland,Historical,EV sales,Vans,BEV,2018,Vehicles,55
EU27,Historical,EV sales,Buses,PHEV,2018,Vehicles,54
Korea,Historical,EV sales,Buses,BEV,2018,Vehicles,50
Norway,Historical,EV sales,Cars,FCEV,2018,Vehicles,45
Turkiye,Historical,EV sales,Cars,PHEV,2018,Vehicles,45
Germany,Historical,EV sales,Buses,BEV,2018,Vehicles,43
EU27,Historical,EV sales,Vans,PHEV,2018,Vehicles,42
Poland,Historical,EV sales,Vans,BEV,2018,Vehicles,42
Brazil,Historical,EV sales,Trucks,BEV,2018,Vehicles,40
Poland,Historical,EV sales,Buses,PHEV,2018,Vehicles,38
Sweden,Historical,EV sales,Buses,BEV,2018,Vehicles,36
United Kingdom,Historical,EV sales,Cars,FCEV,2018,Vehicles,36
Estonia,Historical,EV sales,Cars,PHEV,2018,Vehicles,33
Seychelles,Historical,EV sales,Cars,BEV,2018,Vehicles,32
Denmark,Historical,EV sales,Vans,PHEV,2018,Vehicles,31
Netherlands,Historical,EV sales,Trucks,BEV,2018,Vehicles,30
Spain,Historical,EV sales,Buses,BEV,2018,Vehicles,30
Bulgaria,Historical,EV sales,Cars,PHEV,2018,Vehicles,26
France,Historical,EV sales,Trucks,BEV,2018,Vehicles,26
Israel,Historical,EV sales,Buses,BEV,2018,Vehicles,23
Switzerland,Historical,EV sales,Cars,FCEV,2018,Vehicles,22
Canada,Historical,EV sales,Buses,BEV,2018,Vehicles,19
Brazil,Historical,EV sales,Buses,BEV,2018,Vehicles,18
Switzerland,Historical,EV sales,Buses,BEV,2018,Vehicles,18
Latvia,Historical,EV sales,Cars,PHEV,2018,Vehicles,17
Iceland,Historical,EV sales,Cars,FCEV,2018,Vehicles,16
Belgium,Historical,EV sales,Buses,BEV,2018,Vehicles,14
Belgium,Historical,EV sales,Cars,FCEV,2018,Vehicles,13
Netherlands,Historical,EV sales,Cars,FCEV,2018,Vehicles,13
Norway,Historical,EV sales,Buses,BEV,2018,Vehicles,12
United Kingdom,Historical,EV sales,Trucks,BEV,2018,Vehicles,12
New Zealand,Historical,EV sales,Buses,BEV,2018,Vehicles,11
France,Historical,EV sales,Cars,FCEV,2018,Vehicles,10
Japan,Historical,EV sales,Buses,BEV,2018,Vehicles,10
Portugal,Historical,EV sales,Buses,BEV,2018,Vehicles,10
Switzerland,Historical,EV sales,Buses,FCEV,2018,Vehicles,10
United Kingdom,Historical,EV sales,Buses,FCEV,2018,Vehicles,10
Sweden,Historical,EV sales,Vans,PHEV,2018,Vehicles,9
Spain,Historical,EV sales,Buses,PHEV,2018,Vehicles,8
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7
Canada,Historical,EV sales,Trucks,BEV,2018,Vehicles,7
Brazil,Historical,EV sales,Vans,BEV,2018,Vehicles,5
Denmark,Historical,EV sales,Cars,FCEV,2018,Vehicles,5
Japan,Historical,EV sales,Trucks,BEV,2018,Vehicles,5
Sweden,Historical,EV sales,Trucks,BEV,2018,Vehicles,4
Denmark,Historical,EV sales,Trucks,BEV,2018,Vehicles,3
Belgium,Historical,EV sales,Vans,PHEV,2018,Vehicles,2
Denmark,Historical,EV sales,Buses,BEV,2018,Vehicles,2
Korea,Historical,EV sales,Vans,FCEV,2018,Vehicles,2
Netherlands,Historical,EV sales,Vans,FCEV,2018,Vehicles,2
Belgium,Historical,EV sales,Trucks,BEV,2018,Vehicles,1
EU27,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1
Finland,Historical,EV sales,Buses,BEV,2018,Vehicles,1
Italy,Historical,EV sales,Cars,FCEV,2018,Vehicles,1
Netherlands,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1
Poland,Historical,EV sales,Cars,FCEV,2018,Vehicles,1
Spain,Historical,EV sales,Cars,FCEV,2018,Vehicles,1
China,Historical,EV sales,Cars,BEV,2019,Vehicles,830000
EU27,Historical,EV sales,Cars,BEV,2019,Vehicles,250000
USA,Historical,EV sales,Cars,BEV,2019,Vehicles,240000
China,Historical,EV sales,Cars,PHEV,2019,Vehicles,230000
EU27,Historical,EV sales,Cars,PHEV,2019,Vehicles,140000
USA,Historical,EV sales,Cars,PHEV,2019,Vehicles,85000
China,Historical,EV sales,Buses,BEV,2019,Vehicles,68000
Germany,Historical,EV sales,Cars,BEV,2019,Vehicles,63000
Netherlands,Historical,EV sales,Cars,BEV,2019,Vehicles,63000
Norway,Historical,EV sales,Cars,BEV,2019,Vehicles,60000
France,Historical,EV sales,Cars,BEV,2019,Vehicles,45000
Germany,Historical,EV sales,Cars,PHEV,2019,Vehicles,45000
United Kingdom,Historical,EV sales,Cars,BEV,2019,Vehicles,38000
United Kingdom,Historical,EV sales,Cars,PHEV,2019,Vehicles,37000
Korea,Historical,EV sales,Cars,BEV,2019,Vehicles,33000
Canada,Historical,EV sales,Cars,BEV,2019,Vehicles,32000
China,Historical,EV sales,Vans,BEV,2019,Vehicles,27000
Sweden,Historical,EV sales,Cars,PHEV,2019,Vehicles,25000
China,Historical,EV sales,Trucks,BEV,2019,Vehicles,24000
EU27,Historical,EV sales,Vans,BEV,2019,Vehicles,23000
Japan,Historical,EV sales,Cars,BEV,2019,Vehicles,21000
Canada,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000
France,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000
Norway,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000
Japan,Historical,EV sales,Cars,PHEV,2019,Vehicles,18000
Sweden,Historical,EV sales,Cars,BEV,2019,Vehicles,16000
Switzerland,Historical,EV sales,Cars,BEV,2019,Vehicles,13000
Italy,Historical,EV sales,Cars,BEV,2019,Vehicles,11000
Spain,Historical,EV sales,Cars,BEV,2019,Vehicles,10000
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300
Belgium,Historical,EV sales,Cars,PHEV,2019,Vehicles,8900
Belgium,Historical,EV sales,Cars,BEV,2019,Vehicles,8800
France,Historical,EV sales,Vans,BEV,2019,Vehicles,8100
Spain,Historical,EV sales,Cars,PHEV,2019,Vehicles,7400
Portugal,Historical,EV sales,Cars,BEV,2019,Vehicles,6800
Germany,Historical,EV sales,Vans,BEV,2019,Vehicles,6700
Netherlands,Historical,EV sales,Cars,PHEV,2019,Vehicles,6700
Italy,Historical,EV sales,Cars,PHEV,2019,Vehicles,6500
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
Finland,Historical,EV sales,Cars,PHEV,2019,Vehicles,6000
Portugal,Historical,EV sales,Cars,PHEV,2019,Vehicles,5800
Denmark,Historical,EV sales,Cars,BEV,2019,Vehicles,5500
New Zealand,Historical,EV sales,Cars,BEV,2019,Vehicles,5300
Switzerland,Historical,EV sales,Cars,PHEV,2019,Vehicles,4300
Korea,Historical,EV sales,Cars,FCEV,2019,Vehicles,4200
Denmark,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900
Israel,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900
United Kingdom,Historical,EV sales,Vans,BEV,2019,Vehicles,3500
Ireland,Historical,EV sales,Cars,BEV,2019,Vehicles,3400
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900
Korea,Historical,EV sales,Cars,PHEV,2019,Vehicles,2700
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200
China,Historical,EV sales,Trucks,FCEV,2019,Vehicles,2000
Iceland,Historical,EV sales,Cars,PHEV,2019,Vehicles,2000
Norway,Historical,EV sales,Vans,BEV,2019,Vehicles,2000
USA,Historical,EV sales,Cars,FCEV,2019,Vehicles,2000
Finland,Historical,EV sales,Cars,BEV,2019,Vehicles,1900
Spain,Historical,EV sales,Vans,BEV,2019,Vehicles,1900
Hungary,Historical,EV sales,Cars,BEV,2019,Vehicles,1800
EU27,Historical,EV sales,Buses,BEV,2019,Vehicles,1600
New Zealand,Historical,EV sales,Cars,PHEV,2019,Vehicles,1600
Korea,Historical,EV sales,Vans,BEV,2019,Vehicles,1500
Poland,Historical,EV sales,Cars,BEV,2019,Vehicles,1500
Romania,Historical,EV sales,Cars,BEV,2019,Vehicles,1500
Brazil,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400
Mexico,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400
Netherlands,Historical,EV sales,Vans,BEV,2019,Vehicles,1400
Sweden,Historical,EV sales,Vans,BEV,2019,Vehicles,1400
China,Historical,EV sales,Buses,PHEV,2019,Vehicles,1300
Ireland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1300
Poland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1200
China,Historical,EV sales,Buses,FCEV,2019,Vehicles,1100
Hungary,Historical,EV sales,Cars,PHEV,2019,Vehicles,1100
Iceland,Historical,EV sales,Cars,BEV,2019,Vehicles,1100
Italy,Historical,EV sales,Vans,BEV,2019,Vehicles,1000
Luxembourg,Historical,EV sales,Cars,BEV,2019,Vehicles,990
Luxembourg,Historical,EV sales,Cars,PHEV,2019,Vehicles,910
Colombia,Historical,EV sales,Cars,BEV,2019,Vehicles,870
Israel,Historical,EV sales,Cars,BEV,2019,Vehicles,850
EU27,Historical,EV sales,Trucks,BEV,2019,Vehicles,800
India,Historical,EV sales,Vans,BEV,2019,Vehicles,790
Czech Republic,Historical,EV sales,Cars,BEV,2019,Vehicles,760
India,Historical,EV sales,Cars,BEV,2019,Vehicles,680
Japan,Historical,EV sales,Cars,FCEV,2019,Vehicles,670
Germany,Historical,EV sales,Trucks,BEV,2019,Vehicles,620
Switzerland,Historical,EV sales,Vans,BEV,2019,Vehicles,580
USA,Historical,EV sales,Buses,BEV,2019,Vehicles,560
Brazil,Historical,EV sales,Cars,BEV,2019,Vehicles,540
Japan,Historical,EV sales,Vans,BEV,2019,Vehicles,520
EU27,Historical,EV sales,Cars,FCEV,2019,Vehicles,480
Czech Republic,Historical,EV sales,Cars,PHEV,2019,Vehicles,470
Costa Rica,Historical,EV sales,Cars,BEV,2019,Vehicles,460
India,Historical,EV sales,Buses,BEV,2019,Vehicles,460
Colombia,Historical,EV sales,Cars,PHEV,2019,Vehicles,450
Belgium,Historical,EV sales,Vans,BEV,2019,Vehicles,400
Netherlands,Historical,EV sales,Buses,BEV,2019,Vehicles,380
Greece,Historical,EV sales,Cars,PHEV,2019,Vehicles,290
Mexico,Historical,EV sales,Cars,BEV,2019,Vehicles,290
France,Historical,EV sales,Buses,BEV,2019,Vehicles,280
Denmark,Historical,EV sales,Vans,BEV,2019,Vehicles,270
Portugal,Historical,EV sales,Vans,BEV,2019,Vehicles,230
Turkiye,Historical,EV sales,Cars,BEV,2019,Vehicles,230
United Kingdom,Historical,EV sales,Vans,PHEV,2019,Vehicles,210
Germany,Historical,EV sales,Cars,FCEV,2019,Vehicles,200
Slovakia,Historical,EV sales,Cars,PHEV,2019,Vehicles,200
Croatia,Historical,EV sales,Cars,BEV,2019,Vehicles,190
Germany,Historical,EV sales,Buses,BEV,2019,Vehicles,190
Greece,Historical,EV sales,Cars,BEV,2019,Vehicles,190
Slovenia,Historical,EV sales,Cars,BEV,2019,Vehicles,190
Bulgaria,Historical,EV sales,Cars,BEV,2019,Vehicles,180
Chile,Historical,EV sales,Cars,BEV,2019,Vehicles,160
Lithuania,Historical,EV sales,Cars,BEV,2019,Vehicles,160
Netherlands,Historical,EV sales,Cars,FCEV,2019,Vehicles,160
Norway,Historical,EV sales,Buses,BEV,2019,Vehicles,160
Slovakia,Historical,EV sales,Cars,BEV,2019,Vehicles,160
South Africa,Historical,EV sales,Cars,BEV,2019,Vehicles,160
Chile,Historical,EV sales,Cars,PHEV,2019,Vehicles,140
Netherlands,Historical,EV sales,Trucks,BEV,2019,Vehicles,130
Poland,Historical,EV sales,Vans,BEV,2019,Vehicles,130
United Kingdom,Historical,EV sales,Buses,BEV,2019,Vehicles,120
Korea,Historical,EV sales,Buses,BEV,2019,Vehicles,110
Denmark,Historical,EV sales,Buses,BEV,2019,Vehicles,100
Spain,Historical,EV sales,Buses,BEV,2019,Vehicles,100
Sweden,Historical,EV sales,Buses,BEV,2019,Vehicles,98
Turkiye,Historical,EV sales,Cars,PHEV,2019,Vehicles,94
Latvia,Historical,EV sales,Cars,BEV,2019,Vehicles,86
Estonia,Historical,EV sales,Cars,BEV,2019,Vehicles,80
Canada,Historical,EV sales,Cars,FCEV,2019,Vehicles,79
South Africa,Historical,EV sales,Cars,PHEV,2019,Vehicles,72
New Zealand,Historical,EV sales,Vans,BEV,2019,Vehicles,70
United Kingdom,Historical,EV sales,Cars,FCEV,2019,Vehicles,68
Croatia,Historical,EV sales,Cars,PHEV,2019,Vehicles,67
Italy,Historical,EV sales,Buses,BEV,2019,Vehicles,65
United Arab Emirates,Historical,EV sales,Cars,PHEV,2019,Vehicles,61
Finland,Historical,EV sales,Vans,BEV,2019,Vehicles,60
France,Historical,EV sales,Cars,FCEV,2019,Vehicles,60
Bulgaria,Historical,EV sales,Cars,PHEV,2019,Vehicles,56
Poland,Historical,EV sales,Buses,BEV,2019,Vehicles,54
EU27,Historical,EV sales,Buses,PHEV,2019,Vehicles,51
Japan,Historical,EV sales,Trucks,BEV,2019,Vehicles,50
Canada,Historical,EV sales,Buses,BEV,2019,Vehicles,49
EU27,Historical,EV sales,Vans,PHEV,2019,Vehicles,41
Finland,Historical,EV sales,Buses,BEV,2019,Vehicles,40
Belgium,Historical,EV sales,Buses,BEV,2019,Vehicles,37
Seychelles,Historical,EV sales,Cars,BEV,2019,Vehicles,37
Switzerland,Historical,EV sales,Trucks,BEV,2019,Vehicles,36
Denmark,Historical,EV sales,Vans,PHEV,2019,Vehicles,34
United Arab Emirates,Historical,EV sales,Cars,BEV,2019,Vehicles,33
Brazil,Historical,EV sales,Buses,BEV,2019,Vehicles,32
China,Historical,EV sales,Trucks,PHEV,2019,Vehicles,31
Norway,Historical,EV sales,Cars,FCEV,2019,Vehicles,29
Slovenia,Historical,EV sales,Cars,PHEV,2019,Vehicles,28
China,Historical,EV sales,Vans,PHEV,2019,Vehicles,27
Switzerland,Historical,EV sales,Cars,FCEV,2019,Vehicles,25
Brazil,Historical,EV sales,Trucks,BEV,2019,Vehicles,23
Cyprus,Historical,EV sales,Cars,BEV,2019,Vehicles,23
France,Historical,EV sales,Trucks,BEV,2019,Vehicles,21
United Kingdom,Historical,EV sales,Trucks,BEV,2019,Vehicles,20
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19
Denmark,Historical,EV sales,Buses,PHEV,2019,Vehicles,17
Estonia,Historical,EV sales,Cars,PHEV,2019,Vehicles,17
Italy,Historical,EV sales,Cars,FCEV,2019,Vehicles,17
Portugal,Historical,EV sales,Buses,BEV,2019,Vehicles,17
Israel,Historical,EV sales,Buses,BEV,2019,Vehicles,16
Korea,Historical,EV sales,Vans,FCEV,2019,Vehicles,15
Brazil,Historical,EV sales,Vans,BEV,2019,Vehicles,14
New Zealand,Historical,EV sales,Buses,BEV,2019,Vehicles,13
Belgium,Historical,EV sales,Cars,FCEV,2019,Vehicles,12
Latvia,Historical,EV sales,Cars,PHEV,2019,Vehicles,12
Belgium,Historical,EV sales,Buses,PHEV,2019,Vehicles,11
Portugal,Historical,EV sales,Buses,PHEV,2019,Vehicles,10
Switzerland,Historical,EV sales,Buses,BEV,2019,Vehicles,10
Denmark,Historical,EV sales,Cars,FCEV,2019,Vehicles,8
Japan,Historical,EV sales,Buses,BEV,2019,Vehicles,8
Iceland,Historical,EV sales,Cars,FCEV,2019,Vehicles,7
India,Historical,EV sales,Cars,PHEV,2019,Vehicles,7
Spain,Historical,EV sales,Trucks,BEV,2019,Vehicles,7
Spain,Historical,EV sales,Buses,PHEV,2019,Vehicles,6
France,Historical,EV sales,Vans,PHEV,2019,Vehicles,4
Sweden,Historical,EV sales,Trucks,BEV,2019,Vehicles,4
Denmark,Historical,EV sales,Trucks,BEV,2019,Vehicles,3
Norway,Historical,EV sales,Trucks,BEV,2019,Vehicles,3
Finland,Historical,EV sales,Trucks,BEV,2019,Vehicles,2
New Zealand,Historical,EV sales,Cars,FCEV,2019,Vehicles,2
Sweden,Historical,EV sales,Cars,FCEV,2019,Vehicles,2
Denmark,Historical,EV sales,Trucks,FCEV,2019,Vehicles,1
EU27,Historical,EV sales,Buses,FCEV,2019,Vehicles,1
EU27,Historical,EV sales,Trucks,PHEV,2019,Vehicles,1
EU27,Historical,EV sales,Trucks,FCEV,2019,Vehicles,1
Netherlands,Historical,EV sales,Buses,FCEV,2019,Vehicles,1
Netherlands,Historical,EV sales,Trucks,PHEV,2019,Vehicles,1
Poland,Historical,EV sales,Buses,PHEV,2019,Vehicles,1
Spain,Historical,EV sales,Cars,FCEV,2019,Vehicles,1
China,Historical,EV sales,Cars,BEV,2020,Vehicles,920000
China,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,920000
China,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,920000
EU27,Historical,EV sales,Cars,BEV,2020,Vehicles,540000
EU27,Historical,EV sales,Cars,PHEV,2020,Vehicles,510000
USA,Historical,EV sales,Cars,BEV,2020,Vehicles,230000
USA,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,230000
USA,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,230000
China,Historical,EV sales,Cars,PHEV,2020,Vehicles,220000
China,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,220000
China,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,220000
Germany,Historical,EV sales,Cars,PHEV,2020,Vehicles,200000
Germany,Historical,EV sales,Cars,BEV,2020,Vehicles,190000
France,Historical,EV sales,Cars,BEV,2020,Vehicles,110000
United Kingdom,Historical,EV sales,Cars,BEV,2020,Vehicles,110000
Norway,Historical,EV sales,Cars,BEV,2020,Vehicles,77000
Netherlands,Historical,EV sales,Cars,BEV,2020,Vehicles,76000
France,Historical,EV sales,Cars,PHEV,2020,Vehicles,75000
United Kingdom,Historical,EV sales,Cars,PHEV,2020,Vehicles,68000
Sweden,Historical,EV sales,Cars,PHEV,2020,Vehicles,66000
USA,Historical,EV sales,Cars,PHEV,2020,Vehicles,64000
USA,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,64000
USA,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,64000
China,Historical,EV sales,Buses,BEV,2020,Vehicles,55000
China,Projection-APS,EV sales,Buses,BEV,2020,Vehicles,55000
China,Projection-STEPS,EV sales,Buses,BEV,2020,Vehicles,55000
Canada,Historical,EV sales,Cars,BEV,2020,Vehicles,37000
Italy,Historical,EV sales,Cars,BEV,2020,Vehicles,33000
Belgium,Historical,EV sales,Cars,PHEV,2020,Vehicles,32000
Korea,Historical,EV sales,Cars,BEV,2020,Vehicles,31000
EU27,Historical,EV sales,Vans,BEV,2020,Vehicles,29000
Norway,Historical,EV sales,Cars,PHEV,2020,Vehicles,29000
Sweden,Historical,EV sales,Cars,BEV,2020,Vehicles,28000
Italy,Historical,EV sales,Cars,PHEV,2020,Vehicles,27000
China,Historical,EV sales,Vans,BEV,2020,Vehicles,26000
China,Projection-APS,EV sales,Vans,BEV,2020,Vehicles,26000
China,Projection-STEPS,EV sales,Vans,BEV,2020,Vehicles,26000
Spain,Historical,EV sales,Cars,PHEV,2020,Vehicles,24000
Switzerland,Historical,EV sales,Cars,BEV,2020,Vehicles,20000
Denmark,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000
Netherlands,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000
Spain,Historical,EV sales,Cars,BEV,2020,Vehicles,18000
China,Projection-APS,EV sales,Trucks,BEV,2020,Vehicles,17000
China,Historical,EV sales,Trucks,BEV,2020,Vehicles,17000
China,Projection-STEPS,EV sales,Trucks,BEV,2020,Vehicles,17000
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000
Belgium,Historical,EV sales,Cars,BEV,2020,Vehicles,15000
Japan,Historical,EV sales,Cars,PHEV,2020,Vehicles,15000
Japan,Historical,EV sales,Cars,BEV,2020,Vehicles,15000
Korea,Historical,EV sales,Vans,BEV,2020,Vehicles,15000
Canada,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000
Denmark,Historical,EV sales,Cars,BEV,2020,Vehicles,14000
Switzerland,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000
Finland,Historical,EV sales,Cars,PHEV,2020,Vehicles,13000
Portugal,Historical,EV sales,Cars,PHEV,2020,Vehicles,12000
France,Historical,EV sales,Vans,BEV,2020,Vehicles,9200
Germany,Historical,EV sales,Vans,BEV,2020,Vehicles,8800
Korea,Historical,EV sales,Cars,PHEV,2020,Vehicles,8700
Portugal,Historical,EV sales,Cars,BEV,2020,Vehicles,7800
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600
United Kingdom,Historical,EV sales,Vans,BEV,2020,Vehicles,5700
Israel,Historical,EV sales,Cars,PHEV,2020,Vehicles,5400
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
Korea,Historical,EV sales,Cars,FCEV,2020,Vehicles,5000
Poland,Historical,EV sales,Cars,PHEV,2020,Vehicles,4500
Finland,Historical,EV sales,Cars,BEV,2020,Vehicles,4200
Ireland,Historical,EV sales,Cars,BEV,2020,Vehicles,4000
New Zealand,Historical,EV sales,Cars,BEV,2020,Vehicles,3900
Poland,Historical,EV sales,Cars,BEV,2020,Vehicles,3700
Czech Republic,Historical,EV sales,Cars,BEV,2020,Vehicles,3300
India,Historical,EV sales,Cars,BEV,2020,Vehicles,3100
India,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,3100
India,Projection-APS,EV sales,Cars,BEV,2020,Vehicles,3100
Hungary,Historical,EV sales,Cars,BEV,2020,Vehicles,3000
Hungary,Historical,EV sales,Cars,PHEV,2020,Vehicles,3000
Romania,Historical,EV sales,Cars,BEV,2020,Vehicles,2800
Luxembourg,Historical,EV sales,Cars,PHEV,2020,Vehicles,2700
Norway,Historical,EV sales,Vans,BEV,2020,Vehicles,2600
Iceland,Historical,EV sales,Cars,BEV,2020,Vehicles,2500
Ireland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2500
Luxembourg,Historical,EV sales,Cars,BEV,2020,Vehicles,2500
Iceland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2400
India,Historical,EV sales,Buses,BEV,2020,Vehicles,2200
India,Projection-APS,EV sales,Buses,BEV,2020,Vehicles,2200
India,Projection-STEPS,EV sales,Buses,BEV,2020,Vehicles,2200
Sweden,Historical,EV sales,Vans,BEV,2020,Vehicles,2100
Czech Republic,Historical,EV sales,Cars,PHEV,2020,Vehicles,2000
Mexico,Historical,EV sales,Cars,PHEV,2020,Vehicles,2000
Spain,Historical,EV sales,Vans,BEV,2020,Vehicles,2000
Brazil,Historical,EV sales,Cars,PHEV,2020,Vehicles,1800
China,Historical,EV sales,Buses,PHEV,2020,Vehicles,1800
China,Projection-APS,EV sales,Buses,PHEV,2020,Vehicles,1800
China,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,1800
EU27,Historical,EV sales,Buses,BEV,2020,Vehicles,1800
Mexico,Historical,EV sales,Cars,BEV,2020,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700
Netherlands,Historical,EV sales,Vans,BEV,2020,Vehicles,1700
Canada,Historical,EV sales,Vans,BEV,2020,Vehicles,1600
Slovenia,Historical,EV sales,Cars,BEV,2020,Vehicles,1600
Greece,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500
Israel,Historical,EV sales,Cars,BEV,2020,Vehicles,1500
Japan,Historical,EV sales,Vans,BEV,2020,Vehicles,1500
New Zealand,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500
Canada,Historical,EV sales,Vans,PHEV,2020,Vehicles,1400
China,Projection-APS,EV sales,Trucks,FCEV,2020,Vehicles,1300
China,Historical,EV sales,Trucks,FCEV,2020,Vehicles,1300
China,Projection-STEPS,EV sales,Trucks,FCEV,2020,Vehicles,1300
China,Historical,EV sales,Buses,FCEV,2020,Vehicles,1200
China,Projection-APS,EV sales,Buses,FCEV,2020,Vehicles,1200
China,Projection-STEPS,EV sales,Buses,FCEV,2020,Vehicles,1200
Italy,Historical,EV sales,Vans,BEV,2020,Vehicles,1200
USA,Historical,EV sales,Cars,FCEV,2020,Vehicles,1200
USA,Projection-STEPS,EV sales,Cars,FCEV,2020,Vehicles,1200
USA,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,1200
EU27,Historical,EV sales,Trucks,BEV,2020,Vehicles,1000
India,Historical,EV sales,Vans,BEV,2020,Vehicles,1000
India,Projection-APS,EV sales,Vans,BEV,2020,Vehicles,1000
